artista,genero,anio,similares,bio,listeners,playcount
Extreme,metal,2023,"Mr. Big, Winger, David Lee Roth","Extreme is an American hard rock band consisting of singer/guitar virtuoso Nuno Bettencourt, singer/lyricist Gary Cherone, bassist/singer Pat Badger and drummer Kevin Figueiredo. The band first formed in 1985 in Boston with then drummer Paul Geary (who later got replaced by drummer Mike Mangini) until the band decided to go on an indefinite hiatus that ended up lasting more than 10 years (1996 - 2006). The band's influences range from the progressive hard rock and elaborate multi-vocals parts of Queen <a href=""https://www.last.fm/music/Extreme"">Read more on Last.fm</a>",1045841,11792733
Sôber,metal,2020,"Hamlet, M-Clan, Lannon","Noted in the U.S. for their similarity to American band Tool. They released their first album, Torcidos, as ""Sober Stoned.""

    * Antonio Bernardini - electric guitar
    * Carlos Escobedo - bass, vocals
    * Manu Reyes - drums
    * Jorge Escobedo - electric guitar


Former members:
    * Alberto Madrid - drums <a href=""https://www.last.fm/music/S%C3%B4ber"">Read more on Last.fm</a>",21048,861406
David Draiman,metal,2021,"Jay Gordon, Chester Bennington, Wayne Static","David Michael Draiman was born March 13, 1973 in Flatbush, Brooklyn, New York, USA to a Jewish Orthodox family. He is the lead singer for the band Disturbed, which hails from Chicago, Illinois.

David's career in show business started early at the Ida Crown Jewish Academy in Chicago where he performed during school assemblies and was reportedly thrown off the stage. David has a brother Ben who lives with his wife in Jerusalem.

He is one of five artists who sang for the Queen of the Damned soundtrack <a href=""https://www.last.fm/music/David+Draiman"">Read more on Last.fm</a>",94327,731616
Angra,metal,2022,"Edu Falaschi, Andre Matos, Almah","Angra is  a progressive power metal formation from São Paulo, Brazil. Formed in 1991, with Andre Matos (vocals), Luís Mariutti (bass), Marcos Antunes (drums), André Linhares (guitar) and Rafael Bittencourt (guitar). In 1992, Linhares was replaced by André Hernandes, later replaced by Kiko Loureiro. They underwent a big line-up change in 2000, when the vocalist Andre Matos, the bassist Luis Mariutti and the drummer Ricardo Confessori, that have entered after Marcos Antunes (now with Sunsarah) <a href=""https://www.last.fm/music/Angra"">Read more on Last.fm</a>",415805,24685707
Stam1na,metal,2023,"Mokoma, Kotiteollisuus, Diablo","Stam1na released it's self-titled debut in the spring of 2005, but before that Stam1na was one of the most anticipated unsigned acts in Finland. The second album Uudet kymmenen käskyä was released in May of 2006 and the third album Raja February 2008. Stam1nas 4th album, Viimeinen Atlantis, was released on February 10, 2010. Their 5th album, Nocebo, was released on 8th of February 2012. The first single release from the album was Valtiaan uudet vaateet which had much controversy video with some cruel violence.  <a href=""https://www.last.fm/music/Stam1na"">Read more on Last.fm</a>",134383,16498384
Sonata Arctica,metal,2020,"Stratovarius, Cain's Offering, Avantasia","Sonata Arctica is a Finnish power metal band from the town of Kemi, Finland. Created as a hard rock band named Tricky Beans, they later changed to Tricky Means and finally to Sonata Arctica, when they shifted to power metal. The current line-up consists of singer, keyboardist and songwriter Tony Kakko, guitarist Elias Viljanen, bass guitarist Pasi Kauppinen, keyboardist and keytarist Henrik Klingenberg, and drummer Tommy Portimo. All the musicians of the band's history except Portimo also acted as backing vocalists. <a href=""https://www.last.fm/music/+noredirect/Sonata+Arctica"">Read more on Last.fm</a>",753622,71709346
Eths,metal,2021,"Aqme, Pleymo, The Agonist","Eths is a French metal band from Marseille. They have garned much attention and critical acclaim for their mix of different styles such as Nu-Metal, Death Metal, Alternative Metal and, more recently, Deathcore into one unique sound.

Staif joined by Greg, formed the band What's the fuck in 1996. The following year, Candice joined the band which was renamed Melting Point. In 1999, Guillaume joined the group after having left his earlier group Shockwave. <a href=""https://www.last.fm/music/Eths"">Read more on Last.fm</a>",97383,3263280
The Smashup,metal,2022,"Opiate For The Masses, Hourcast, Adair","The Smashup are a Post-Hardcore / Punk band from Brooklyn, New York. They formed in 2001. They are signed to Warcon Records. They realeased their self-titled debut EP in 2004. They released their first studio album ""Being and Becoming"" in 2005. It features songs such as ""Never Gonna Kill Us"", ""No Name"", and ""Effigy."" The song ""Effigy"" was featured on the Saw III soundtrack and the song ""Never Gonna Kill Us"" on the Feast soundtrack. <a href=""https://www.last.fm/music/The+Smashup"">Read more on Last.fm</a>",9292,78223
Xandria,metal,2023,"Delain, Sirenia, Visions of Atlantis","Xandria is a symphonic metal band that formed 1994 in Bielefeld (NRW), Germany. According to the band, Xandria unifies modern rock with mystic soundscapes into a soundtrack of a different, really characteristic world.
1994 - 1997
A predecessor of the band was formed by Marco Heubaum (guitars, keyboards), drawing inspiration from Bands like Tiamat and Paradise Lost. This band was already named Xandria, but due to musical dissension between the members, they parted ways in 1997. <a href=""https://www.last.fm/music/Xandria"">Read more on Last.fm</a>",367128,14245070
Tiamat,metal,2020,"Paradise Lost, Moonspell, Theatre of Tragedy","Tiamat is a metal band that formed in Täby, Sweden in 1988. Their music has been the subject of debate, utilizing subgenres like death metal, doom metal, progressive and gothic, but more recently they have focused on what has been described as atmospheric gothic metal with ethnic, psychedelic and experimental elements.

Biography:
Initially, the band played straightforward black metal under the name Treblinka. After having recorded the album Sumerian Cry in 1989 <a href=""https://www.last.fm/music/Tiamat"">Read more on Last.fm</a>",374797,20295937
Light the Torch,metal,2021,"Any Given Day, Killswitch Engage, Devil You Know","Light the Torch (formerly Devil You Know) is an American metalcore band formed in Los Angeles, California, United States, in 2012. On July 26, 2017, the band announced via social media that they have changed their name to Light the Torch, without explanation beyond stating ""A full statement will be made soon and a new album is very close to being completed. It’s a new beginning and we couldn’t be more excited.” Jones revealed in an interview on October 13 <a href=""https://www.last.fm/music/Light+the+Torch"">Read more on Last.fm</a>",120568,2316773
Broken By The Scream,metal,2022,"Zenbukiminoseida., Ladybaby, HANABIE.","Broken By The Scream is a Japanese kawaii metal/idol metal group that integrates metalcore, djent, and deathcore with idol-style vocals, creating a unique soundscape. Formed in October 2016, the band has become known for its unusual vocal setup: founding member Io delivers low growls, while Yayoi provides high-pitched screams, complemented by Tsubaki and Shizuku's clean vocals. 

The band officially debuted at Nishikawaguchi Hearts on January 15, 2017, and released their first mini-album, Screaming Rhapsody, later that year through PCI Music. <a href=""https://www.last.fm/music/Broken+By+The+Scream"">Read more on Last.fm</a>",28456,760905
Ramp,metal,2023,"Roy Ayers, Roy Ayers Ubiquity, Bobbi Humphrey","There are three artists that share this name:

1) Ramp (1977-U.S.)

A group that was based in Cincinnati and also an acronym for ""Roy Ayers Music Productions,"" Ramp released one album in 1977 that didn't do all that much upon its release. However, decades later, as appreciation for anything bearing the mark of jazz-funk legend Roy Ayers has increased, the album has become a revered rare groove classic. Supported by the excellent ""Daylight"" and a version of Ayers' ""Everybody Loves the Sunshine <a href=""https://www.last.fm/music/Ramp"">Read more on Last.fm</a>",100530,554537
36 Crazyfists,metal,2020,"Ill Niño, 40 Below Summer, Dry Kill Logic","36 Crazyfists was an alternative metal band formed in Anchorage, Alaska, and later based in Portland, Oregon. The band's name comes from the Jackie Chan film Jackie Chan and the 36 Crazy Fists. They have released eight studio albums. <a href=""https://www.last.fm/music/36+Crazyfists"">Read more on Last.fm</a>",495361,18904676
The Halo Effect,metal,2021,"Dark Tranquillity, Insomnium, Horizon Ignited","The Halo Effect was founded by five former members of the Swedish metal band In Flames. Jesper Strömblad was a founding member of In Flames in 1990, and in 1993 Mikael Stanne (who founded the band Dark Tranquillity and remains its sole founding member today) worked as a session vocalist on In Flames' demo tape and debut album. Niclas Engelin and Peter Iwers joined In Flames in 1997, and Daniel Svensson joined In Flames in 1998 after Niclas Engelin quit. <a href=""https://www.last.fm/music/The+Halo+Effect"">Read more on Last.fm</a>",71766,2472534
Symphony X,metal,2022,"Michael Romeo, Dream Theater, Circus Maximus","Symphony X is an American progressive metal band from Middletown, New Jersey. Founded in 1994, the band consists of guitarist Michael Romeo, keyboardist Michael Pinnella, drummer Jason Rullo, lead vocalist Russell Allen and bassist Michael Lepond. They achieved some commercial success with the 2007 album Paradise Lost and the 2011 album Iconoclast, which reached number 76 on the Billboard 200.

Symphony X is often compared to other progressive metal bands such as Dream Theater, Fates Warning, and Shadow Gallery. <a href=""https://www.last.fm/music/Symphony+X"">Read more on Last.fm</a>",364598,20595083
Deicide,metal,2023,"Morbid Angel, Cannibal Corpse, Suffocation","Deicide is an American death metal band formed in 1987. The band rose to mainstream success in 1992 with their second album, Legion. Over the years, their lyrics have resulted in bans, lawsuits and criticism from religious groups and the public.

The band was originally called Amon, and recorded two demos under this name, which were later released on CD as ""Amon: Feasting The Beast"". They changed the name to Deicide in late 1989, just prior to the recording of the self-titled debut. <a href=""https://www.last.fm/music/Deicide"">Read more on Last.fm</a>",358977,17187404
Dionysus,metal,2020,"Twilight Force, Insania, Bloodbound","There are multiple artists using this name:

1. Swedish power metal band
2. German progressive metal band
3. Groove metal band from Holland
4. Progressive metal band from US
5. Black/power metal band from UK 
6. Rap artist from US
7. Neo-Classical Metal/Shred band from Korea
8. Electronic/Techno artist from US
9. Ambient/Rock band from UK
10. Death/Doom metal band from Pakistan

1. Dionysus is a Swedish/German power metal band created in 1999 by Sinergy's drummer Ronny Milianowicz, with Luca Turilli's vocalist Olaf Hayer. <a href=""https://www.last.fm/music/Dionysus"">Read more on Last.fm</a>",150782,1798553
Knorkator,metal,2021,"J.B.O., Hämatom, Eisbrecher","Knorkator is a German band from Berlin-Köpenick that combined Industrial Metal with non-serious and comical elements. They proclaimed themselves to be ""Germany's most band in the world"" (German: ""Deutschlands meiste Band der Welt""), as the title ""The best band in the world"" was already taken by Die Ärzte. The band was founded in 1994, but only played live gigs in the Berlin / Brandenburg area until 1998.

Knorkator gained further fame (and some <a href=""https://www.last.fm/music/Knorkator"">Read more on Last.fm</a>",158941,5472872
Viikate,metal,2022,"Kotiteollisuus, Mokoma, Maj Karma","Viikate (meaning ""Scythe"" in English) is a heavy metal rock band, formed in 1996 in Kouvola, Finland. It is known for its melancholy lyrics, drawing inspiration from Finnish romance movies of the 1950s and Finnish singers of the era, including Reino Helismaa. Their style has been variously described as ""Helismaa-metal"", ""wire-metal"" and ""death schlager"".

The band began with Kaarle Viikate and Simeoni Viikate who remained the only members of the band until 2005, when Arvo and Ervo, the band's long-time live members, joined the band officially. <a href=""https://www.last.fm/music/Viikate"">Read more on Last.fm</a>",85532,7090674
Pain of Salvation,metal,2023,"Riverside, Leprous, Haken","Pain of Salvation is a progressive rock band from Eskilstuna, Sweden. The band centres on lead vocalist, guitarist, composer, and writer Daniel Gildenlöw.

Trademarks include concept albums focusing on social, environmental, philosophical, and emotional issues as well as songs that incorporate complex rhythms and time changes but retain flowing melodies.

The band was formed by Gildenlöw in 1984 under the name Reality. The band used to participate in many music contests in their homeland of Sweden. <a href=""https://www.last.fm/music/+noredirect/Pain+of+Salvation"">Read more on Last.fm</a>",378235,28678475
Insomnium,metal,2020,"Omnium Gatherum, Dark Tranquillity, Be'lakor","Insomnium is a melodic death metal band from Joensuu, Finland. They are influenced by doom metal and progressive metal. The sound and lyrical themes of their music portray darkness, sorrow, loss, pain, and nature. They are primarily a melodic death metal band with occasional elements of doom metal and progressive metal.
History
On 9 September 2011 Insomnium released the music video ""Through the Shadows"" from their 2011 album, One for Sorrow.
In November <a href=""https://www.last.fm/music/Insomnium"">Read more on Last.fm</a>",275247,26422297
Rasta,metal,2021,"Relja, Coby, Jala Brat","1- Rasta is serbian rap/dancehall/reggae artist. His real name is Stefan Djuric
his facebook fan page https://www.facebook.com/RastaOfficial

He made albums with Rasta & LMR and Unija i Rasta

2- Rasta were a thrash-metal band coming from Belarus. They play a powerful, heavy melodic style and are often using keyboards in their music (as Children of Bodom or Fear Factory).
Rasta has nothing to do with reggae or anything associated with it.
The band gains more and more popularity and will perform on concerts and gigs in Poland <a href=""https://www.last.fm/music/Rasta"">Read more on Last.fm</a>",31020,1581691
Sirenia,metal,2022,"Xandria, Tristania, Leaves' Eyes","Sirenia is a gothic metal band from Stavanger, Norway. 

Sirenia came together in early 2001, when Morten Veland parted ways with his former band Tristania due to musical disagreements and personal differences.

Sirenia combines strong melodic instrumentals, keyboard synthesis, and guitar works with light, female vocals (Fabienne Gondamin, Henriette Bordvik, Monika Pedersen, Ailyn), and currently Emmanuelle Zoldan, male death vocals, and a choir. Current band members are Morten Veland (programming <a href=""https://www.last.fm/music/Sirenia"">Read more on Last.fm</a>",418438,16459491
Sandu Ciorba,metal,2023,"Dani Mocanu, Nicolae Guta, Florin Salam","Sandu Ciorba is a Roma artist, author and singer of Roma traditional music from Transylvania, Romania. While being quite versatile in interpreting various styles of folk music, he is known and very much appreciated as a genuine preserver of traditional Roma music from the North-West of Romania. He produced many albums and is very often performing at weddings and various parties.  <a href=""https://www.last.fm/music/Sandu+Ciorba"">Read more on Last.fm</a>",31632,242753
Andrew W.K.,metal,2020,"CKY, The Darkness, The Wildhearts","Andrew W.K. was born Andrew Wilkes-Krier in Stanford, California in 1979, before moving to Michigan at age 4. He began piano lessons promptly at age 5, studying at The University Of Michigan School Of Music Pedagogy program. By his early teens Andrew had already exhibited great enthusiasm and talent for both music and the visual arts. He spent his high school years playing drums and keyboard in an almost endless variety of short-lived, but passionate groups, all centered in southeast Michigan's explosive cultural scene. <a href=""https://www.last.fm/music/Andrew+W.K."">Read more on Last.fm</a>",517129,11199183
Overkill,metal,2021,"Exodus, Death Angel, Testament","Overkill is an American thrash metal band, formed in 1980 in New Jersey. They have gone through many lineup changes, leaving bassist D.D. Verni and lead vocalist Bobby ""Blitz"" Ellsworth as the only constant members. In addition to Verni and Ellsworth, Overkill's current lineup includes Dave Linsk on lead guitar, Derek Tailer on rhythm guitar and Jason Bittner on drums. Along with Nuclear Assault and Anthrax, whose one-time lead guitarist Dan Spitz was also an early member of Overkill <a href=""https://www.last.fm/music/Overkill"">Read more on Last.fm</a>",373103,14625666
American Head Charge,metal,2022,"Spineshank, 40 Below Summer, Switched","American Head Charge, the Minneapolis-based metal band, which had its beginning  Cameron Heacock and Chad Hanks crossed paths in a Minnesota rehab facility in 1997, has up to now been known primarily for the radically dysfunctional behavior of the band members.

""We were definitely out of control on our first tour, Ozzfest 2001,"" Mr. Banks admits. ""It wasn't enough to just play our music; we also had to fire shotguns on stage and throw pigheads at the crowd. <a href=""https://www.last.fm/music/American+Head+Charge"">Read more on Last.fm</a>",277043,4334000
Savatage,metal,2023,"Jon Oliva's Pain, Circle II Circle, Crimson Glory","Savatage is an American heavy metal band founded by brothers Jon and Criss Oliva in 1979 in Tarpon Springs, Florida. The band was first called Avatar, but, shortly before the release of their debut album Sirens (1983), they changed their name to Savatage, as Avatar was already taken by another band. Savatage is considered a significant member of the American heavy metal movement of the early-to-mid-1980s and has been cited as a key influence on many genres <a href=""https://www.last.fm/music/Savatage"">Read more on Last.fm</a>",311011,12372885
Unearth,metal,2020,"As I Lay Dying, Darkest Hour, Shadows Fall","There are at least two bands with this name:

1) Unearth is:
Trevor Phipps - vocals
Buz McGrath - guitar
John Maggard - bass
Ken Susi - guitar
Nick Pierce - drums


Hailing from Massachusetts, (originally Point 04)  Unearth bring a refreshing sense of talent with charismatic riffs, thought provoking lyrics and pummeling breakdowns. Unearth masterfully combine an intoxicating mix of American and European metal with hardcore ethic and punch. This unique approach makes Unearth one of the most abrasive <a href=""https://www.last.fm/music/Unearth"">Read more on Last.fm</a>",407242,11907424
In Extremo,metal,2021,"Subway to Sally, Saltatio Mortis, Tanzwut"," In Extremo (Latin: At the Edge) is a German medieval metal band originating from Berlin. The band's musical style combines metal with medieval traditional songs, blending the sound of the standard rock/metal instruments with historical instruments (such as bagpipes, harp, hurdy-gurdy and shawm). Versions of well-known traditional/medieval ballads make up the main part of their repertoire, but the band has written an increasing share of original material in recent years. <a href=""https://www.last.fm/music/In+Extremo"">Read more on Last.fm</a>",329134,21971667
Silent Planet,metal,2022,"Invent Animate, Currents, ERRA","Silent Planet is an American metalcore band from Los Angeles, California, formed in 2009. Their name is a nod to C. S. Lewis' science-fiction novel Out of the Silent Planet. The group currently consists of vocalist Garrett Russell, guitarist Mitchell Stark, bassist Thomas Freckleton and drummer Alex Camarena.  The band is currently signed to Solid State Records, and have recorded a total of two EPs and five full-length albums to date: The Night God Slept (2014) <a href=""https://www.last.fm/music/Silent+Planet"">Read more on Last.fm</a>",145828,9218740
Scene Queen,metal,2023,"Ennaria, Cassyette, Nova Twins","Hannah Collins, professionally known as Scene Queen, is an American singer-songwriter signed to Hopeless Records. She is known for coining the style ""Bimbocore"", a subgenre of metalcore with feminist themes. She rose to fame on the social media platform TikTok, where she has garnered over 230,000 followers as of April 2022.[2] Her debut EP Bimbocore was released on April 29, 2022. 

Scene Queen defines her music as ""bimbocore"", a subgenre of metalcore <a href=""https://www.last.fm/music/Scene+Queen"">Read more on Last.fm</a>",205684,5234993
Okilly Dokilly,metal,2020,"Psychostick, Austrian Death Machine, Anthony Vincent","Okilly Dokilly are a self-described ""nedal"" band formed in Phoenix, Arizona in 2015. The band consists of Head Ned (vocals), Stead Ned (guitar), Thread Ned (bass guitar), Red Ned (synths) and Bled Ned (drums). Shortly after the release of their Okilly Demos, the band gained international attention from press such as The Independent, Rip It Up, The Huffington Post and Metal Injection.

Current members:
Head Ned – lead vocals, guitars, bass guitar, mandolin, percussion (2015–present) <a href=""https://www.last.fm/music/Okilly+Dokilly"">Read more on Last.fm</a>",41156,346275
MEJIBRAY,metal,2021,"DADAROMA, gulu gulu, XAAXAA","MEJIBRAY was a four piece visual metal/rock band from Japan created by the vocalist 綴 (a.k.a. ex.ＶａｎｅｓｓＡ - 元規) in March 2011,
and It is originally a solo artist project with support guests, MEJIBRAY's first live was held on 30th April 2011 at 池袋BlackHole.
MEJIBRAY became an official band on June 19th 2011 of that year, when all the support members officially joined the band. The line-up remained stable until October 1st of that year, when Guitarist 一風 -ippu- left the band for unclear reasons. <a href=""https://www.last.fm/music/MEJIBRAY"">Read more on Last.fm</a>",83282,4118626
Almafuerte,metal,2022,"Hermética, Ricardo Iorio, V8","In 1994, Hermética, a heavy metal band from Argentina, broke up. Bassist Ricardo Iorio formed, one year later, Almafuerte, with guitarist Claudio ""El Tano"" Marcielo and drummer Claudio Cardacci.

In 1995 they released their first studio album, Mundo Guanaco, which included songs of both Hermética and of V8(another of Ricardo Iorio's previous bands), and some new ones written by Iorio (most of them dealing with social issues). After the release of their second album, Del Entorno, Cardacci was replaced by Rodolfo Márquez. <a href=""https://www.last.fm/music/Almafuerte"">Read more on Last.fm</a>",29137,1504915
Jonathan Davis,metal,2023,"Korn, Adema, Love and Death","There are two individuals known by the name Jonathan Davis: one is the lead vocalist of the American band Korn, and the other is an award-winning voice actor and audiobook narrator.

Jonathan Houseman Davis (born January 18, 1971) is an American musician best known as the lead vocalist for the nu metal band Korn. He was born and raised in Bakersfield, California, and lived there with his father and stepmother.

In addition to his role as vocalist, Davis has also contributed to the band by playing instruments such as the bagpipes and guitar. <a href=""https://www.last.fm/music/Jonathan+Davis"">Read more on Last.fm</a>",197852,2271346
Katatonia,metal,2020,"Paradise Lost, Anathema, Opeth","Katatonia is a Swedish progressive metal band formed in Stockholm in 1991 by Jonas Renkse and Anders Nyström. The band started as a studio-only project for the duo, as an outlet for the band's love of black metal/doom metal. Increasing popularity led them to add more band members for live performances, though outside of the band's founders, the lineup was a constantly changing, revolving door of musicians throughout the 1990s, notably including Mikael Åkerfeldt of the band Opeth for a period. <a href=""https://www.last.fm/music/Katatonia"">Read more on Last.fm</a>",676870,80294104
Stemage,metal,2021,"Powerglove, GaMetal, RichaadEB","Stemage is Grant Henry, a song-writer and arranger from North Carolina. His most notable work is the band Metroid Metal, whose official website is http://www.metroidmetal.com (although he also released most of these songs as solo recordings under the name of Stemage. Note that despite last.fm's redirect, Metroid Metal is a separate artist, being a band consisting of five people, not just Stemage).

Stemage's original work is a combination of pop, metal, and 90's influenced rock. <a href=""https://www.last.fm/music/Stemage"">Read more on Last.fm</a>",35201,829248
Cavalera Conspiracy,metal,2022,"Soulfly, Sepultura, Kerry King","Cavalera Conspiracy is an American heavy metal supergroup from Phoenix, Arizona, founded by Brazilian brothers Max (vocals, rhythm guitar) and Igor Cavalera (drums, percussion). The band originally formed in 2007 as Inflikted but changed its name for legal reasons. The group's creation marked the end of a 10-year feud between the Cavalera brothers who founded Sepultura in the early 1980s. In 2022, they adopted the name Cavalera in order to release re-recorded editions of classic Sepultura albums. These albums were released in 2023. <a href=""https://www.last.fm/music/Cavalera+Conspiracy"">Read more on Last.fm</a>",200542,6245968
Demetori,metal,2023,"彩音 ～xi-on～, CROW'SCLAW, めらみぽっぷ","Japan (2004 - Present)

デメトリ Demetori is an instrumental progressive metal duo from Japan consisting of twin brothers Masaru ""Tokunan"" Teramae and Tadashi ""Kyuuhouji"" Teramae. Their sound is generally fast and intense with displays of very high technical ability, although it can also get softer on occasion.

They have released twelve full-length albums of rearranged tracks from the Touhou original soundtrack (including a collaboration album with UI-70) and a retro game music cover album. <a href=""https://www.last.fm/music/Demetori"">Read more on Last.fm</a>",27160,2705065
Rainbow,metal,2020,"Deep Purple, Dio, Whitesnake","1. A British rock band.
2. A U.S. psychedelic rock band.
3. A K-pop girl group. (other tags include 레인보우)

1. Rainbow was a British rock band formed by Deep Purple founder and former guitarist Ritchie Blackmore in 1975. In addition to Blackmore, the band originally consisted of former Elf lead singer Ronnie James Dio, bassist Craig Gruber, drummer Gary Driscoll, and keyboardist Micky Lee Soule. Over the years, Rainbow went through many lineup changes. <a href=""https://www.last.fm/music/Rainbow"">Read more on Last.fm</a>",1366531,31264574
Beyond the Black,metal,2021,"Delain, Ad Infinitum, Visions of Atlantis","Beyond the Black is a German symphonic metal/power metal band formed in 2014 in Mannheim. The current members are, as of 2023: Jennifer Haben, Kai Tschierschky, Tobi Lodes and Chris Hermsdörfer.

History
The band was formed in 2014 in Mannheim by Jennifer Haben (ex-Saphir) who after finishing the production of the first album engaged Nils Lesser (lead guitar), Christopher Hummels (rhythm guitar/backing vocals), Michael Hauser (keyboards), Erwin Schmidt (bass) and Tobias Derer (drums) as live musicians. <a href=""https://www.last.fm/music/Beyond+the+Black"">Read more on Last.fm</a>",75062,3134750
The Haunted,metal,2022,"Hatesphere, Darkane, At the Gates","There are more than one artist going by Haunted:

1) The Haunted, a Swedish  Melodic death metal  and Groove metal band, formed in Gothenburg, Sweden in 1996. The current band members are Witchery guitarist Patrik Jensen,  bassist Jonas Björler and guitarist Ola Englund, drummer Adrian Erlandsson and singer Marco Aro.

The band released their first album, the self-titled debut The Haunted, in 1998, while signed to Earache Records. Before this, they had released a demo, called Demo '97, in 1997. <a href=""https://www.last.fm/music/The+Haunted"">Read more on Last.fm</a>",327999,12713482
200 Stab Wounds,metal,2023,"Sanguisugabogg, Undeath, Gatecreeper","200 Stab Wounds is a brutal death metal band from Cleveland, Ohio.  They formed in 2019.  The band consists of Steve Buhl (vocals, guitars), Lance Buckley (guitars), Ezra Cook (bass) and Owen Pooley (drums).  Their lyrical themes include death and decay.  They released their debut EP Piles of Festering Decomposition in 2020.  In 2021, they released their first album named Slave to the Scalpel through Maggot Stomp. They are currently signed to Metal Blade Records. <a href=""https://www.last.fm/music/200+Stab+Wounds"">Read more on Last.fm</a>",67326,1980319
Volcano,metal,2020,"Denied, Drain, Torture","There are at least eight bands by this name: 

1) A Beatdown band from Ohio 

2) Volcano is a punk/folk/reggae supergroup band, formed by Meat Puppets frontman Curt Kirkwood, Sublime drummer Bud Gaugh, and session musicians Mike Stand and Jon Poutney. They have released only one album (with a cheap, hand-drawn inkpen front cover drawn by Curt), which quickly sold out at Skunk records, followed by only eight concerts in support of the release. Currently, its only available form is a downloadably zip file on an mp3 site. <a href=""https://www.last.fm/music/Volcano"">Read more on Last.fm</a>",44084,804797
Death Angel,metal,2021,"Exodus, Overkill, Testament","Death Angel is an American thrash metal band from Daly City, California, initially active from 1982 to 1991 and again since 2001. Death Angel has released nine studio albums, two demo tapes, one box set and three live albums. The band has gone through several line-up changes, leaving guitarist Rob Cavestany as the only constant member; he and vocalist Mark Osegueda (who joined the group in 1984) are the only members of Death Angel to appear on all of their studio albums. <a href=""https://www.last.fm/music/Death+Angel"">Read more on Last.fm</a>",269829,7172896
Napalm Death,metal,2022,"Brutal Truth, Terrorizer, Carcass","Napalm Death is an English grindcore band that was formed in Meriden, Warwickshire in 1981. Since 1986, none of the band's original members have remained in the group. However, starting from their album ""Utopia Banished"" (1992), the lineup of bassist Shane Embury, guitarist Mitch Harris, drummer Danny Herrera, and lead vocalist Mark ""Barney"" Greenway has remained consistent for most of the band's career. From 1989 to 2004, Napalm Death briefly expanded <a href=""https://www.last.fm/music/Napalm+Death"">Read more on Last.fm</a>",494976,28354263
Nocny Kochanek,metal,2023,"Kabanos, Hunter, Iron head","NOCNY KOCHANEK is one of the few Polish metal bands that creates music and, above all, the accompanying texts with a huge distance to the group itself and to the stereotype usually associated with heavy metal.
The band consists of musicians from Night Mistress. They owe their name to Bartosz Walaszek - the director of a popular cartoon ""Kapitan bomba"" (Captain Bomb), where you can hear the music of Night Mistress many times. In one episode the band performed under the name Nocny Kochanek <a href=""https://www.last.fm/music/Nocny+Kochanek"">Read more on Last.fm</a>",41422,3111543
Mägo de Oz,metal,2020,"Warcry, Saurom, Tierra Santa","Mägo de Oz is a Folk Metal band from Madrid, Spain, formed in 1989 by drummer Txus. It was one of the earliest bands to perform Folk metal, combining celtic and Spanish folk music with heavy/power metal since their first releases. Their lyrics (always written in Spanish) combine supernatural stories and drinking escapades with a biting satire.

In 1992, the band became a finalist in the ""Villa de Madrid"" contest. They achieved great success in their country, and became Revelation Rock band in various media in 1995. <a href=""https://www.last.fm/music/M%C3%A4go+de+Oz"">Read more on Last.fm</a>",284289,13105043
PassCode,metal,2021,"Ladybaby, Broken By The Scream, HANABIE.","PassCode is a Japanese  idol group formed 2014 in Osaka. The concept of the group is mix of the loud rock and idol genre.Their sound is mix of loud rock, progressive rock, based original band sound. Songs featuring members’ shout scream are one of the characteristics of the group.Their live is described as a roller coaster live because of non-stop performance. Shout scream, and performance of PassCode has attracted variety of audiences, not only rock fans but also idol fans.roup members: <a href=""https://www.last.fm/music/PassCode"">Read more on Last.fm</a>",58207,2398386
Evergrey,metal,2022,"Pyramaze, Redemption, Threshold","Evergrey is a Swedish progressive metal band from Gothenburg.

History

Evergrey was formed in 1993 in Gothenburg by guitarist/vocalist Tom S. Englund as a progressive power metal band, in contrast to the melodic death metal that Gothenburg is known for. Since then, the band's lyrics have always been of the darker sort, and the same can be said of the band's imagery. After finding a stable lineup, The Dark Discovery was recorded in 1996 and released in 1998, and Solitude, Dominance, Tragedy was recorded and released in 1999. <a href=""https://www.last.fm/music/Evergrey"">Read more on Last.fm</a>",259540,12283764
John 5,metal,2023,"Steve Vai, Marty Friedman, Buckethead","John William Lowery was born July 31, 1971 in Grosse Pointe, Michigan. He has played with Marilyn Manson, Loser, Two, Meatloaf and many more bands. He is currently playing with Rob Zombie and Mötley Crüe. The name John 5 was given to him as he was the fifth replacement member to join Marilyn Manson, and also refers to a passage in the bible. 

Lowery started his career as a session guitarist having moved to Los Angeles from Michigan at age 17. His first band in L. <a href=""https://www.last.fm/music/John+5"">Read more on Last.fm</a>",124579,2848592
AK-47,metal,2020,"Cursed, JEEMBO, Cro-Mags","There are 12 artists with this name:

1) AK-47 are an industrial/nu metal band from Beijing, China.
 
2) AK47 are a crust punk band from Croatia

3) AK-47 was a punk band from Houston, TX.  Their classic first and only single ""The Badge Means You Suck / Kiss My Machine"" was released in 1980; the whole Houston police dept when ape-shit over this song and it was on the local newspapers and TV. They brilliantly channeled their rage into a 4-minute tirade <a href=""https://www.last.fm/music/AK-47"">Read more on Last.fm</a>",38293,511194
